,idx,target,captions
0,144,0,a black and white photo of a field with trees and bushes
1,234,0,a black and white photo of a bear in the dark
2,237,0,a black and white photo of a dirt field with trees
3,260,0,a black and white photo of a bear in the dark
4,261,0,a black and white photo of a night time view of a forest
5,270,0,a black and white photo of a field with trees and bushes
6,280,0,a black and white photo of a cat in the dark
7,281,0,a black and white photo of a night time photo of a cat
8,282,0,a black and white photo of a cat in the dark
9,295,0,a black and white photo of a dirt field with trees
10,296,0,a black and white photo of a dirt field with trees
11,297,0,a black and white photo of a dirt field with trees
12,299,0,a black and white photo of a dirt field with trees
13,300,0,a black and white photo of a dirt field with trees
14,304,0,a black and white photo of a night time photo of a bear
15,305,0,a black and white photo of a night time camera with a green circle
16,306,0,a black and white photo of a cat in the dark
17,307,0,a black and white photo of a bear in the dark
18,308,0,a black and white photo of a bear in the dark
19,309,0,a black and white photo of a bear in the dark
20,317,0,a black and white photo of a dirt field with trees
21,318,0,a black and white photo of a dirt field with trees
22,344,0,a black and white photo of a field with a zebra in the distance
23,345,0,a black and white photo of a zebra walking through a field
24,371,0,a black and white photo of a night time view of a deer
25,412,0,a black and white photo of a night time view of a forest
26,421,0,a black and white photo of a field with trees and bushes
27,425,0,a black and white photo of a dirt field with trees
28,432,0,a black and white photo of a dirt road with trees
29,433,0,a black and white photo of a dirt road with trees
30,434,0,a black and white photo of a dirt road with trees
31,464,0,a black and white photo of a night time view of a forest
32,476,0,a black and white photo of a camera in the dark
33,488,0,a black and white photo of a night time view of a forest
34,636,0,there is a picture of a lake with a bird in it
35,637,0,there is a picture of a lake with a bird in it
36,695,0,there is a large body of water that is in the middle of a field
37,696,0,there is a large body of water that is in the middle of a field
38,697,0,there is a large body of water that is in the middle of a field
39,706,0,there is a large body of water that is in the middle of a field
40,1196,0,there is a bird flying over a lake in the middle of a field
41,1197,0,there is a picture of a lake with a bird in it
42,1198,0,there is a picture of a lake with a bird in it
43,1199,0,there is a picture of a lake with a bird in it
44,1200,0,there is a picture of a lake with a bird in it
45,1204,0,there is a picture of a lake with a bird in it
46,1619,0,a close up of a camera with a black background and a field
47,1620,0,a close up of a camera with a black background and a field
48,2879,0,there is a large body of water that is in the middle of a field
49,2880,0,there is a large body of water that is in the middle of a field
50,2881,0,there is a large body of water that is in the middle of a field
51,2948,0,there is a picture of a lake with a lot of water
52,2949,0,there is a large body of water that is in the middle of a field
53,2950,0,there is a large body of water that is in the middle of a field
54,3553,0,there is a bird that is standing in the water by the grass
55,3602,0,there is a large body of water that is in the middle of a field
56,3603,0,there is a bird that is standing in the water by the grass
57,3604,0,there is a large body of water that is in the middle of a field
58,3969,0,there is a large body of water that is in the middle of a field
59,3970,0,there is a large body of water that is in the middle of a field
60,3971,0,there is a large body of water that is in the middle of a field
61,4356,0,arafed view of a lake with a bird in the foreground
62,4357,0,arafed view of a lake with a bird in it and a bird in the water
63,4370,0,there is a large body of water that is in the middle of a field
64,4371,0,there is a large body of water that is in the middle of a field
65,4372,0,there is a large body of water that is in the middle of a field
66,4898,0,there is a large body of water that is in the middle of a field
67,4899,0,there is a large body of water that is in the middle of a field
68,4900,0,there is a large body of water that is in the middle of a field
69,5025,0,there is a large body of water that is in the middle of a field
70,5050,0,there is a large body of water that is in the middle of a field
71,5051,0,there is a large pond in the middle of a field
72,5052,0,there is a large pond in the middle of a field
73,5163,0,there is a picture of a herd of elephants standing in a field
74,5164,0,there is a picture of a lake with a herd of elephants in it
75,5165,0,there is a picture of a lake with elephants in it
76,5908,0,there is a bird that is standing in the water by the grass
77,5929,0,there is a large body of water that is in the middle of a field
78,7245,0,there is a bird that is standing in the water by the grass
79,7246,0,there is a large body of water that is in the middle of a field
80,7247,0,there is a bird that is standing in the water by the grass
81,7571,0,there is a picture of a lake with a bird in it
82,7779,0,there is a large pond in the middle of a field
83,7780,0,there is a large pond in the middle of a field
84,8082,0,there is a large body of water that is in the middle of a field
85,8083,0,there is a large body of water that is in the middle of a field
86,8084,0,there is a large body of water that is in the middle of a field
87,8094,0,there is a large body of water that is in the middle of a field
88,8095,0,there is a large body of water that is in the middle of a field
89,8096,0,there is a large body of water that is in the middle of a field
90,8234,0,there is a large body of water with a small body of water in it
91,8261,0,there is a large body of water that is in the middle of a field
92,8267,0,there is a lake with a bird in it and a field with grass
93,8271,0,there is a lake with a lot of water in it
94,8272,0,there is a lake in the middle of a field with a bird on it
95,8273,0,there is a lake with a lot of water in it
96,8286,0,there is a bird that is standing in the water by the grass
97,8287,0,there is a large body of water with a few birds in it
98,8317,0,a close up of a camera with a black background and a green circle
99,8343,0,a close up of a camera with a lake in the background
100,8344,0,a close up of a camera with a lake in the background
101,8351,0,a close up of a camera with a black background and a field
102,8352,0,a close up of a camera with a black background and a field
103,8353,0,a close up of a camera with a black background and a field
104,8354,0,there is a bird that is standing in the grass by the water
105,8428,0,there is a large body of water that is in the middle of a field
106,8429,0,there is a large body of water that is in the middle of a field
107,8433,0,there is a bird that is flying over a lake
108,8434,0,there is a large body of water that is in the middle of a field
109,8435,0,there is a large body of water that is in the middle of a field
110,8442,0,a close up of a camera with a black background and a green circle
111,8443,0,a close up of a camera with a blurry image of a field
112,8444,0,a close up of a camera with a black background and a field
113,8460,0,there is a picture of a lake with a bird in it
114,8461,0,there is a picture of a lake with a bird in it
115,8462,0,there is a picture of a lake with a bird in it
116,8469,0,a close up of a camera with a black background and a green circle
117,8470,0,a close up of a camera with a black background and a green circle
118,8471,0,a close up of a camera with a black background and a green circle
119,8472,0,a close up of a camera with a black background and a green circle
120,8473,0,a close up of a bird flying over a field at night
121,8474,0,a close up of a camera with a black background and a green circle
122,8475,0,a close up of a camera with a black background and a green circle
123,8476,0,a close up of a camera with a black background and a field
124,8477,0,a close up of a camera with a black background and a field
125,8478,0,a close up of a camera with a black background and a black background
126,8479,0,a close up of a camera with a black background and a green circle
